Protocol,Packet_Length,Duration,Bytes_Sent,Bytes_Received,Flow_Packets/s,Flow_Bytes/s,Avg_Packet_Size,Total_Fwd_Packets,Total_Bwd_Packets,Fwd_Header_Length,Bwd_Header_Length,Sub_Flow_Fwd_Bytes,Sub_Flow_Bwd_Bytes,Inbound,Attack_Type,Label
ICMP,1155,4.01,675,877,37.9,583.2,512,21,34,256,256,697,1028,1,DDoS,1
ICMP,1776,3.75,297,1062,37.8,1100.6,1024,14,19,512,256,513,1300,1,DDoS,1
UDP,627,4.24,122,723,12.3,339.1,512,10,41,512,256,250,497,0,DDoS,1
UDP,1754,3.09,1626,1703,19.2,1913.5,256,37,44,128,256,985,1471,0,Ransomware,0
UDP,1326,2.52,1851,771,16.2,105.9,1024,40,16,512,256,1877,595,1,Normal,1
ICMP,1882,3.99,969,2038,38.4,1945.6,1024,49,47,128,128,1171,420,0,DDoS,0
UDP,560,0.69,1797,1408,17.8,344.7,1024,26,17,256,256,1241,487,0,Brute Force,0
TCP,501,0.46,1699,1398,10.6,130.5,512,29,33,128,256,2042,145,0,DDoS,1
TCP,1275,4.97,1730,246,25.1,970.6,64,12,30,128,512,1357,1582,1,DDoS,1
ICMP,1459,0.95,1123,1529,31.8,196,64,12,12,512,256,1265,735,1,Brute Force,1
TCP,1485,0.86,1682,526,36.9,465.2,256,43,29,256,512,1083,1866,0,Brute Force,0
TCP,616,4.89,78,1118,14.8,630.2,512,22,19,256,512,1906,1508,0,DDoS,1
UDP,1263,1.44,1522,315,14.2,806,256,32,33,128,256,1557,1552,1,DDoS,0
UDP,747,1.71,1147,266,33.5,1501.8,256,38,13,256,128,608,317,1,Brute Force,1
ICMP,163,2.48,1020,1581,24.8,658.4,256,10,37,256,256,168,234,0,Brute Force,1
TCP,1849,1.17,674,1604,22.8,1871.9,64,11,36,256,512,1489,1105,0,Normal,1
ICMP,1246,3.11,467,1311,25.4,754.5,64,40,20,512,128,1142,1608,0,Normal,0
UDP,1721,2.28,465,1131,18.6,634.1,256,27,26,128,128,808,1361,1,Ransomware,0
UDP,912,1.52,513,1756,12.7,1566.4,512,17,29,128,128,1467,1703,0,Normal,0
